"","ASC_06_C_0_GAGTCC","ASC_06_C_10_ACGTCT","ASC_06_C_5_GTGTAG","ASC_06_D_H_0_CGCAAC","ASC_06_D_H_10_CAGCGT","ASC_06_H_0_AATAGC","ASC_06_H_10_TCGAGG","ASC_06_H_5_CCGCAA","BLANK_ACATTA","BRU_05_C_0_ACCGTG","BRU_05_C_10_GCATGG","BRU_05_D_H_0_GCGAAT","BRU_05_D_H_10_GATTGT","BRU_05_D_H_5_GGTATA","BRU_05_H_0_TGGATT","BRU_05_H_10_TTCCGC","CAM_02_C_0_GGCTGC","CAM_02_C_10_AACGCC","CAM_02_C_5_TTAACT","CAM_02_D_H_0_ATAAGA","CAM_02_D_H_10_AAGACA","CAM_02_H_0_ATTGGT","CAM_02_H_10_CAAGCA","CAM_02_H_5_GGTGAG","ESC_01_C_0_CAGATG","ESC_01_C_10_ACAACG","ESC_01_D_H_0_CGGTTA","ESC_01_D_H_10_TACCTT","ESC_01_D_H_5_GACGAT","ESC_01_H_0_TCAGGA","ESC_01_H_10_ATGGCG","JAY_02_C_0_ACCTAC","JAY_02_C_10_TATGTC","JAY_02_D_H_0_CCAATT","JAY_02_D_H_10_CGCCTG","JAY_02_H_0_AACCGA","JAY_02_H_10_CGATCT","JAY_02_H_5_ATGAAC","KAN_04_C_0_CACACT","KAN_04_C_10_CGTCGC","KAN_04_D_H_0_CAATGC","KAN_04_D_H_10_TGACAC","KAN_04_H_0_CTCCAT","KAN_04_H_10_TAGGCT","LOL_02_C_0_AGTACT","LOL_02_C_10_CCTAAG","LOL_02_C_5_CAACAG","LOL_02_D_H_0_AGATAG","LOL_02_D_H_10_CAGGAC","LOL_02_H_0_TGGCGA","LOL_02_H_10_GACATC","MMF_13_C_0_ACAGAT","MMF_13_C_10_TGTGCA","MMF_13_C_5_AGTTGA","MMF_13_D_H_0_CTCTCG","MMF_13_D_H_10_TTTATG","MMF_13_D_H_5_AAGCTC","MMF_13_H_0_AATCCG","MMF_13_H_10_ATACTG","MMF_13_H_5_CGAAGG","NOR_02_C_0_AATGAA","NOR_02_C_10_TTGGTA","NOR_02_C_5_TCGTTC","NOR_02_D_H_0_TCTTAA","NOR_02_D_H_10_GTGCCA","NOR_02_D_H_5_CACTAA","NOR_02_H_0_GTTACC","NOR_02_H_10_GTAGAA","NOR_02_H_5_GAAGTG","XBM_07_C_0_GATCAC","XBM_07_C_10_GCTCGA","XBM_07_C_5_TGCACG","XBM_07_D_H_0_ATATCC","XBM_07_D_H_10_GTCAGG","XBM_07_D_H_5_CTAGTC","XBM_07_H_0_ACCAGT","XBM_07_H_10_GGAGGT"
"G9G70_1.1",0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_2.1",1,0,0,26,0,0,7,0,0,0,2,31,9,0,46,0,0,2,0,2,0,0,3,7,2,9,5,0,0,1,1,2,0,0,0,2,3,0,1,0,1,0,9,0,0,0,0,0,0,10,1,0,0,0,1,0,0,0,5,0,2,1,2,1,0,0,0,0,0,0,0,3.87,0,0,0,1,0
"G9G70_4.1",4,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2.13,0,0,0,1,0
"G9G70_3.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_5.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_6.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_7.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_8.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_9.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_10.1",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"G9G70_10.2",1,3,3,3,18,15,36,2,0,0,28,52,11,0,37,1,8,3,8,8,9,0,5,7,5,10,20,1,0,15,16,13,0,7,6,12,9,0,1,19,7,22,0,4,7,1,0,7,6,8,43,2,3,1,24,25,0,2,2,8,9,5,0,14,0,0,11,34,3,6,10,11,0,0,20,7,9
