"","source_population","treatment","day_harvest","samples"
"ASC_06_C_0_GAGTCC","ASC_06","Control",0,"ASC_06_C_0_GAGTCC"
"ASC_06_C_10_ACGTCT","ASC_06","Control",10,"ASC_06_C_10_ACGTCT"
"ASC_06_C_5_GTGTAG","ASC_06","Control",5,"ASC_06_C_5_GTGTAG"
"ASC_06_D_H_0_CGCAAC","ASC_06","Drought; Heat",0,"ASC_06_D_H_0_CGCAAC"
"ASC_06_D_H_10_CAGCGT","ASC_06","Drought; Heat",10,"ASC_06_D_H_10_CAGCGT"
"ASC_06_H_0_AATAGC","ASC_06","Heat",0,"ASC_06_H_0_AATAGC"
"ASC_06_H_10_TCGAGG","ASC_06","Heat",10,"ASC_06_H_10_TCGAGG"
"ASC_06_H_5_CCGCAA","ASC_06","Heat",5,"ASC_06_H_5_CCGCAA"
"BRU_05_C_0_ACCGTG","BRU_05","Control",0,"BRU_05_C_0_ACCGTG"
"BRU_05_C_10_GCATGG","BRU_05","Control",10,"BRU_05_C_10_GCATGG"
"BRU_05_D_H_0_GCGAAT","BRU_05","Drought; Heat",0,"BRU_05_D_H_0_GCGAAT"
"BRU_05_D_H_10_GATTGT","BRU_05","Drought; Heat",10,"BRU_05_D_H_10_GATTGT"
"BRU_05_D_H_5_GGTATA","BRU_05","Drought; Heat",5,"BRU_05_D_H_5_GGTATA"
"BRU_05_H_0_TGGATT","BRU_05","Heat",0,"BRU_05_H_0_TGGATT"
"BRU_05_H_10_TTCCGC","BRU_05","Heat",10,"BRU_05_H_10_TTCCGC"
"CAM_02_C_0_GGCTGC","CAM_02","Control",0,"CAM_02_C_0_GGCTGC"
"CAM_02_C_10_AACGCC","CAM_02","Control",10,"CAM_02_C_10_AACGCC"
"CAM_02_C_5_TTAACT","CAM_02","Control",5,"CAM_02_C_5_TTAACT"
"CAM_02_D_H_0_ATAAGA","CAM_02","Drought; Heat",0,"CAM_02_D_H_0_ATAAGA"
"CAM_02_D_H_10_AAGACA","CAM_02","Drought; Heat",10,"CAM_02_D_H_10_AAGACA"
"CAM_02_H_0_ATTGGT","CAM_02","Heat",0,"CAM_02_H_0_ATTGGT"
"CAM_02_H_10_CAAGCA","CAM_02","Heat",10,"CAM_02_H_10_CAAGCA"
"CAM_02_H_5_GGTGAG","CAM_02","Heat",5,"CAM_02_H_5_GGTGAG"
