GO.ID	pValue
GO:0007300	9.3e-05
GO:0070570	0.00013
GO:0000912	0.00017
GO:0001700	2e-04
GO:0070572	2e-04
GO:0035193	0.00023
GO:0048679	0.00044
GO:0048680	0.00051
GO:0007488	0.00065
GO:0002683	0.00079
GO:0000910	0.00081
GO:0035272	0.00091
GO:0070192	0.00094
GO:0007315	0.00102
GO:0008298	0.00129
GO:0044837	0.0013
GO:0018208	0.0013
GO:0031102	0.00144
GO:0048598	0.00154
GO:0080135	0.00182
GO:0000281	0.00213
GO:0030029	0.00229
GO:1903036	0.00251
GO:0048678	0.00266
GO:0007316	0.00267
GO:0032506	0.00277
GO:0061988	0.00295
GO:0046847	0.00322
GO:0051321	0.00324
GO:0007391	0.00333
GO:0031099	0.00347
GO:0031103	0.00353
GO:0007552	0.00359
GO:0007444	0.0039
GO:0051301	0.00413
GO:0048732	0.00458
GO:0030717	0.00459
GO:1903046	0.00461
GO:0007028	0.00467
GO:0006448	0.00467
GO:0022411	0.0047
GO:0006457	0.00481
GO:0002164	0.00561
GO:0002165	0.00579
GO:0006449	0.00619
GO:0045901	0.00643
GO:0006452	0.00677
GO:0009886	0.0068
GO:0060810	0.00719
GO:0098727	0.0072
GO:0007436	0.00737
GO:0003006	0.00917
GO:0120034	0.00969
GO:0019827	0.0099
GO:0009880	0.01088
GO:0045905	0.01156
GO:0022412	0.01188
GO:0006302	0.0121
GO:0048859	0.01234
GO:0009611	0.01277
GO:0016072	0.013
GO:0030718	0.01324
GO:0042551	0.01324
GO:0044272	0.01346
GO:0060491	0.01401
GO:0030865	0.01647
GO:0030036	0.01717
GO:0003012	0.0172
GO:0009994	0.01761
GO:1990748	0.01843
GO:0010628	0.01933
GO:0009791	0.02052
GO:0046890	0.0214
GO:0098754	0.02196
GO:0061640	0.02236
GO:0048729	0.02284
GO:1903034	0.02306
GO:0007560	0.02422
GO:0035150	0.0255
GO:0007308	0.02802
GO:0007431	0.02993
GO:0006790	0.03022
GO:0043065	0.03039
GO:0090130	0.03092
GO:0090181	0.03125
GO:0007309	0.03131
GO:0006419	0.03145
GO:0045168	0.03352
GO:0019216	0.03355
GO:1902931	0.03405
GO:0007389	0.03405
GO:0007281	0.0347
GO:0000278	0.03471
GO:0007351	0.03474
GO:0046039	0.03478
GO:0008217	0.03523
GO:0002168	0.03566
GO:0008063	0.0363
GO:0006413	0.03644
GO:0042770	0.03725
GO:0006885	0.03863
GO:0016078	0.0394
GO:0048925	0.03943
GO:0043243	0.0401
GO:0015669	0.04013
GO:0072578	0.04132
GO:0080134	0.04176
GO:0000725	0.0424
GO:0031346	0.04508
GO:0030866	0.04565
GO:0070542	0.04655
GO:0001667	0.04705
GO:0097237	0.04747
GO:0031175	0.04894
GO:0097435	0.04955
