GO.ID	pValue
GO:0061437	1.3e-09
GO:1904238	3.1e-09
GO:0072143	4.8e-09
GO:0035150	4.8e-09
GO:0072012	8.2e-09
GO:0090131	9.8e-09
GO:0061440	2.4e-08
GO:0003012	5.8e-07
GO:0072007	6.3e-07
GO:0072109	1.1e-06
GO:0072008	1.2e-06
GO:0000912	1.6e-06
GO:0001700	1.9e-06
GO:0006413	3.2e-06
GO:0072144	3.4e-06
GO:0032781	5.9e-06
GO:0032835	6.6e-06
GO:0048680	8.5e-06
GO:0070572	1.2e-05
GO:0070570	1.4e-05
GO:0035272	1.9e-05
GO:0060810	1.9e-05
GO:0035193	2e-05
GO:0006839	2.5e-05
GO:0001731	2.7e-05
GO:0007300	3.2e-05
GO:0044837	3.3e-05
GO:0048679	3.7e-05
GO:0007488	4.2e-05
GO:0006754	5.4e-05
GO:0008217	7.4e-05
GO:0031032	8e-05
GO:0072132	8.7e-05
GO:0030036	0.00012
GO:0032506	0.00012
GO:0002064	0.00012
GO:0009145	0.00014
GO:0035152	0.00018
GO:0097435	2e-04
GO:1903046	0.00021
GO:0007391	0.00022
GO:0008298	0.00022
GO:0090130	0.00022
GO:0045168	0.00023
GO:0051321	0.00023
GO:0030240	0.00024
GO:0007431	0.00026
GO:0030029	0.00032
GO:0031103	0.00032
GO:0009206	0.00036
GO:0061988	0.00045
GO:0014829	0.00045
GO:0006457	0.00047
GO:0046847	0.00048
GO:0009880	5e-04
GO:0006826	0.00058
GO:1901293	0.00066
GO:0030717	0.00067
GO:0006403	0.00069
GO:0061005	0.00069
GO:0007436	0.00071
GO:0019953	0.00079
GO:0007315	0.00084
GO:0043462	0.00084
GO:0002683	0.00087
GO:0019693	0.00088
GO:0002165	0.00107
GO:1901798	0.00116
GO:0061640	0.00121
GO:0014866	0.00122
GO:0002164	0.00124
GO:0007351	0.00139
GO:0061448	0.00147
GO:0009798	0.0015
GO:0007626	0.00172
GO:0090066	0.00179
GO:0097746	0.00183
GO:0060538	0.00185
GO:1902600	0.00188
GO:0048678	0.00199
GO:0035850	0.00201
GO:0080135	0.00205
GO:0007028	0.00207
GO:0007552	0.00223
GO:1903036	0.00277
GO:0016072	0.00298
GO:0055001	0.003
GO:0051235	0.00309
GO:0060541	0.00311
GO:0007435	0.0037
GO:0030865	0.00398
GO:0016925	0.00401
GO:0009142	0.00403
GO:0042560	0.00417
GO:0019749	0.00436
GO:0034643	0.0045
GO:0007308	0.00464
GO:0007309	0.00483
GO:0050777	0.00485
GO:0000075	0.00491
GO:0007316	0.00495
GO:0140694	0.00498
GO:0014904	0.00504
GO:0003013	0.00506
GO:0009205	0.0052
GO:0007350	0.00522
GO:0010927	0.00533
GO:0097237	0.00568
GO:1901991	0.00571
GO:0051491	0.00578
GO:0009886	0.0058
GO:0007444	0.00605
GO:0055002	0.00606
GO:0090630	0.00641
GO:0030239	0.00655
GO:0031102	0.00659
GO:0007560	0.00726
GO:0033275	0.00761
GO:0006936	0.00781
GO:0072006	0.00786
GO:0060438	0.00813
GO:0048741	0.00814
GO:0046390	0.00817
GO:0030718	0.00844
GO:0045039	0.00859
GO:0009615	0.00885
GO:0036065	0.00904
GO:0009152	0.00909
GO:0044818	0.00976
GO:1990542	0.00998
GO:0007629	0.01011
GO:0009397	0.01013
GO:0009150	0.01018
GO:0006626	0.01021
GO:0007314	0.01034
GO:0070192	0.0104
GO:0048145	0.01081
GO:0003381	0.01095
GO:0010569	0.01113
GO:0009636	0.01125
GO:0120034	0.01171
