TermID	Name	Value	LogSize	Frequency	Uniqueness	Dispensability	PC_0	PC_1	Representative
"GO:0000150"	"DNA strand exchange activity"	-1.3038184128314763	4.451571537038068	0.06907879681709521	0.9771235581135836	0.03206792	-1.3744767956196486	5.32158337846492	null
"GO:0008237"	"metallopeptidase activity"	-1.5649523586600353	5.727844506639566	1.3050653990717627	0.922702248168799	0.35087162	-2.136217935561452	-7.1679390087982275	null
"GO:0009055"	"electron transfer activity"	-3.677780705266081	5.59231557615425	0.9552192089902616	1	-0	-4.825562270134068	3.2171089091514258	null
"GO:0015035"	"protein-disulfide reductase activity"	-3.721246399047171	4.952021940304929	0.21867829121452026	0.8762769128579808	0	-3.6312783656168928	-5.856242977856371	null
"GO:0015078"	"proton transmembrane transporter activity"	-1.7000570999772329	5.685572465087901	1.184023032875939	0.9994965848293276	-0	2.2785890922153698	-8.39945098885019	null
"GO:0016667"	"oxidoreductase activity, acting on a sulfur group of donors"	-1.7101881608823786	5.36611650807837	0.5674181459607501	0.923769698191139	0.34956589	-5.153775757427083	-4.544196741322849	null
"GO:0016744"	"transketolase or transaldolase activity"	-1.6577747706392096	4.835893406212397	0.16736924251979327	0.9763100187815916	0.03433494	-6.660475921851243	-0.24351273814303243	null
"GO:0033218"	"amide binding"	-1.3403689883929994	5.3017481589152275	0.4892542112910973	0.9742241630158087	0.03534301	-0.5681692446939485	0.37996658851345266	null
"GO:0042802"	"identical protein binding"	-1.8535618647142253	5.5221950622024805	0.8127974619446289	0.8755787221656254	0.34349043	6.100695510291808	-3.297170387772655	null
"GO:0048306"	"calcium-dependent protein binding"	-2.728158393463501	4.213305206162794	0.03990866603458204	0.8884774921824447	-0	5.778873875485998	-2.268825542093078	null
"GO:0070182"	"DNA polymerase binding"	-1.3911531776735884	3.884285462339675	0.018707568803922554	0.892199788393382	0.2645467	5.209634401831267	-4.0433819833622735	null
"GO:0120227"	"acyl-CoA binding"	-1.4544454927659352	4.337199605373581	0.053084558162148895	0.9776003188728545	0.02916913	5.800133094543891	2.9701894493181853	null
"GO:1901681"	"sulfur compound binding"	-1.3560540872519333	5.365484240956815	0.5665926683816737	0.9739817310081865	0.02852898	2.53062038602532	4.965284100072505	null
