geneID	GO
##gff2/gtf	NA
##source-version	NA
TRINITY_DN100027_c0_g1_i1	GO:0005634;GO:0005737;GO:0004342;GO:0016787;GO:0005975;GO:0006046;GO:0006048;GO:0019262
TRINITY_DN100032_c0_g1_i1	GO:0006396
TRINITY_DN100032_c0_g1_i2	NA
TRINITY_DN100042_c1_g1_i2	NA
TRINITY_DN100042_c1_g1_i3	NA
TRINITY_DN100049_c0_g1_i1	GO:0043209
TRINITY_DN100058_c0_g1_i1	GO:0016021;GO:0030054;GO:0045211;GO:0005230;GO:0098655
TRINITY_DN100058_c0_g1_i2	GO:0016021;GO:0030054;GO:0045211;GO:0005230;GO:0098655
TRINITY_DN100059_c0_g1_i1	GO:0005524;GO:0016874
TRINITY_DN100059_c0_g1_i2	GO:0000790;GO:0005737;GO:0033503;GO:0005524;GO:0016874;GO:0031625;GO:0061630;GO:0000209;GO:0006281;GO:0016574;GO:0043161
TRINITY_DN100059_c0_g1_i3	GO:0005524;GO:0016874
TRINITY_DN100061_c0_g3_i1	NA
TRINITY_DN100061_c0_g4_i1	NA
TRINITY_DN100070_c0_g1_i1	NA
TRINITY_DN100070_c0_g1_i2	NA
TRINITY_DN100074_c0_g1_i1	NA
TRINITY_DN100081_c0_g1_i1	NA
TRINITY_DN100087_c0_g1_i1	GO:0008233
TRINITY_DN100098_c0_g1_i1	NA
TRINITY_DN100103_c0_g1_i1	NA
TRINITY_DN100107_c0_g2_i1	NA
TRINITY_DN100107_c0_g2_i2	NA
TRINITY_DN100114_c0_g1_i1	NA
TRINITY_DN100115_c0_g1_i1	NA
TRINITY_DN100117_c0_g1_i1	GO:0016021;GO:0045252;GO:0004149;GO:0006099
TRINITY_DN100134_c0_g1_i1	NA
TRINITY_DN100136_c0_g2_i1	NA
TRINITY_DN100139_c0_g1_i1	GO:0016021
TRINITY_DN100139_c0_g1_i2	GO:0016021
TRINITY_DN100146_c0_g1_i1	GO:0005634;GO:0005737;GO:0003723;GO:0000462;GO:0000479
TRINITY_DN100146_c0_g2_i1	GO:0005634;GO:0005737;GO:0003723;GO:0000462;GO:0000479
TRINITY_DN100149_c0_g1_i1	NA
TRINITY_DN100154_c0_g1_i2	GO:0005634;GO:0005764;GO:0034448;GO:1990131;GO:0003924;GO:0005525;GO:0009267;GO:0010506;GO:0032008;GO:0071230
TRINITY_DN100162_c0_g2_i1	GO:0044424;GO:0004674;GO:0005488;GO:0006468
TRINITY_DN100163_c0_g1_i1	NA
TRINITY_DN100175_c0_g1_i1	NA
TRINITY_DN100178_c0_g1_i1	GO:0044424
TRINITY_DN100178_c0_g1_i3	GO:0044424
TRINITY_DN100185_c0_g1_i1	GO:0044699
TRINITY_DN100185_c0_g1_i2	GO:0044699
TRINITY_DN100200_c0_g1_i1	NA
TRINITY_DN100200_c0_g1_i2	NA
TRINITY_DN100200_c0_g1_i3	NA
TRINITY_DN100212_c0_g1_i1	NA
TRINITY_DN100216_c0_g1_i1	NA
TRINITY_DN100216_c0_g2_i1	NA
TRINITY_DN100227_c0_g1_i1	NA
TRINITY_DN100227_c0_g1_i2	NA
TRINITY_DN100227_c0_g1_i3	NA
TRINITY_DN100227_c0_g1_i4	NA
TRINITY_DN100231_c0_g1_i1	NA
TRINITY_DN100234_c0_g1_i1	GO:0016021
TRINITY_DN100234_c0_g1_i2	GO:0016021
TRINITY_DN100236_c0_g2_i1	NA
TRINITY_DN100242_c0_g1_i2	NA
TRINITY_DN100248_c0_g1_i1	NA
TRINITY_DN100260_c0_g1_i1	GO:0005774;GO:0016021;GO:0033179;GO:0015078;GO:0016787;GO:0015991
TRINITY_DN100271_c0_g1_i1	NA
TRINITY_DN100271_c0_g1_i2	NA
TRINITY_DN100272_c0_g1_i1	NA
TRINITY_DN100272_c0_g1_i4	GO:0008270
TRINITY_DN100276_c0_g1_i1	GO:0016020;GO:0006810
TRINITY_DN100284_c0_g1_i1	NA
TRINITY_DN100284_c0_g1_i2	NA
TRINITY_DN100284_c0_g1_i3	NA
TRINITY_DN100284_c0_g1_i4	NA
TRINITY_DN100284_c0_g1_i5	NA
TRINITY_DN100287_c0_g1_i1	NA
TRINITY_DN100291_c0_g1_i1	GO:0016787
TRINITY_DN100299_c0_g1_i1	GO:0005783;GO:0016021;GO:1990592
TRINITY_DN100317_c0_g1_i1	NA
TRINITY_DN100325_c0_g1_i1	NA
TRINITY_DN100325_c0_g1_i2	NA
TRINITY_DN100327_c0_g1_i1	GO:0022627;GO:0032040;GO:0003735;GO:0070181;GO:0006407;GO:0006412;GO:0045903
TRINITY_DN100327_c0_g1_i2	GO:0022627;GO:0032040;GO:0003735;GO:0070181;GO:0006407;GO:0006412;GO:0045903
TRINITY_DN100342_c0_g3_i1	NA
TRINITY_DN100342_c0_g3_i2	NA
TRINITY_DN100346_c0_g1_i1	GO:0016787
TRINITY_DN100349_c0_g1_i1	GO:0008021;GO:0030122;GO:0008289;GO:0008565;GO:0006886;GO:0007269;GO:0007293;GO:0016183;GO:0033227;GO:0060429
TRINITY_DN100363_c0_g1_i1	NA
TRINITY_DN100363_c0_g1_i2	NA
TRINITY_DN100371_c0_g1_i1	NA
TRINITY_DN100373_c0_g2_i1	NA
TRINITY_DN100374_c0_g1_i1	NA
TRINITY_DN100383_c1_g1_i1	GO:0005743;GO:0016021;GO:0005509;GO:0055085
TRINITY_DN100385_c0_g1_i1	NA
TRINITY_DN100390_c0_g1_i1	GO:0044425;GO:0044464;GO:0003824;GO:0006631;GO:0015908;GO:0046474;GO:0050794;GO:0050896
TRINITY_DN100391_c0_g1_i1	GO:0008152
TRINITY_DN100392_c0_g2_i1	GO:0016020;GO:0050794
TRINITY_DN100400_c0_g1_i1	NA
TRINITY_DN100400_c0_g2_i1	NA
TRINITY_DN100400_c0_g3_i1	NA
TRINITY_DN100401_c0_g1_i1	GO:0005654;GO:0006357;GO:0010629;GO:0044238;GO:0044260
TRINITY_DN100401_c0_g2_i1	GO:0032777;GO:0006351;GO:0006357
TRINITY_DN100406_c0_g1_i1	GO:0003824;GO:0006259
TRINITY_DN100409_c0_g1_i1	NA
TRINITY_DN100417_c0_g1_i1	NA
TRINITY_DN100417_c0_g1_i2	NA
TRINITY_DN100417_c0_g1_i3	NA
TRINITY_DN100421_c0_g1_i1	GO:0044464;GO:0022402
TRINITY_DN100431_c0_g1_i1	GO:0000166
TRINITY_DN100435_c0_g1_i1	GO:0005856;GO:0016043;GO:0044763;GO:0051128;GO:0065008
TRINITY_DN100439_c0_g1_i1	NA
TRINITY_DN100444_c0_g1_i1	GO:0005654;GO:0004674;GO:0005524;GO:0006468;GO:0032212;GO:0051973;GO:1904355
TRINITY_DN100444_c0_g2_i1	GO:0005654;GO:0004674;GO:0005524;GO:0006468;GO:0032212;GO:0051973;GO:1904355
TRINITY_DN100444_c0_g4_i1	GO:0005654;GO:0004674;GO:0005524;GO:0006468;GO:0032212;GO:0051973;GO:1904355
TRINITY_DN100445_c0_g1_i2	NA
TRINITY_DN100449_c0_g1_i1	GO:0016791;GO:0006796
TRINITY_DN100449_c0_g1_i2	GO:0016787
TRINITY_DN100455_c0_g1_i1	NA
TRINITY_DN100455_c0_g1_i2	NA
TRINITY_DN100466_c0_g1_i1	NA
TRINITY_DN100469_c0_g1_i1	NA
TRINITY_DN100475_c0_g1_i1	GO:0030529
TRINITY_DN100475_c0_g1_i2	GO:0030529
TRINITY_DN100484_c0_g2_i1	NA
